specification,variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
primary,post_x_ai,-0.02748316968632985,0.015068788303449033,-1.8238473547365013,0.06817515247232026,-0.05701745205174838,0.0020511126790886784
primary,post_x_port,-0.0022497851506352853,0.0073213258494758985,-0.3072920392959067,0.7586210944821408,-0.016599320134690163,0.012099749833419594
primary,post_x_ai_x_port,-0.005675462335085995,0.007600687750581069,-0.7467037880423529,0.45524238268171935,-0.020572536583959647,0.009221611913787658
robustness_automation,post_x_ai,-0.023859019720649573,0.014923302830848167,-1.5987760880473632,0.10987036402361003,-0.05310815579949661,0.0053901163581974686
robustness_automation,post_x_port,-0.0026468657508354823,0.00722212644562149,-0.3664939641759083,0.7139965156866186,-0.016801973476047876,0.011508241974376911
robustness_automation,post_x_ai_x_port,-0.0035243860513815032,0.010726915947666994,-0.3285553898786748,0.7424917713250057,-0.024548754973997156,0.017499982871234148
robustness_human_beta,post_x_ai,-0.02543960768389201,0.014767552614759323,-1.7226691752881638,0.08494836763880129,-0.054383478948620584,0.003504263580836567
robustness_human_beta,post_x_port,-0.002334641771694483,0.007386548018212944,-0.31606668851782704,0.7519518903532387,-0.016812009857467565,0.012142726314078598
robustness_human_beta,post_x_ai_x_port,-0.007704263755758983,0.010550490339798081,-0.7302280280469344,0.46525081296046167,-0.028382844841000978,0.012974317329483013
robustness_port_max,post_x_ai,-0.030867302880322297,0.015575186206987363,-1.9818256083817838,0.047498762275308436,-0.06139410689852254,-0.0003404988621220559
robustness_port_max,post_x_port,-0.011434723787818464,0.021460138191096764,-0.5328355151302065,0.5941474467908102,-0.05349582174562066,0.030626374169983733
robustness_port_max,post_x_ai_x_port,-0.03104860258925323,0.03346490199828013,-0.9277960112014946,0.35351339351742217,-0.09663860525204476,0.03454140007353831
robustness_port_top10,post_x_ai,-0.0316124385480696,0.01582305884309461,-1.9978715153338185,0.04573059151227012,-0.06262506400579305,-0.0005998130903461553
robustness_port_top10,post_x_port,-0.012293077475758986,0.02058460916490817,-0.5971975167114535,0.5503755169647717,-0.05263817007481212,0.028052015123294145
robustness_port_top10,post_x_ai_x_port,-0.021404575297698583,0.026402044034361114,-0.8107165971635173,0.4175284398118331,-0.07315163072328695,0.030342480127889787
