occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
4720,8.889996946226857,13500837.07,0.6584774632960485,Cashiers,1,100.0,62,88.38095238095238
440,8.687978784554204,29149695.1166,0.29804698641964955,"Managers, all other",2,99.80952380952381,247,53.14285714285714
4760,8.22938315215261,13976075.1649,0.5888193255299721,Retail salespersons,3,99.61904761904762,80,84.95238095238096
5240,6.911444168582424,14771543.1791,0.46788910845559495,Customer service representatives,4,99.42857142857143,126,76.19047619047619
9620,5.668152677230772,12147148.817499999,0.46662412409608833,"Laborers and freight, stock, and material movers, hand",5,99.23809523809524,127,76.0
5400,5.247664526149656,6577331.8289,0.7978409273943049,Receptionists and information clerks,6,99.04761904761905,38,92.95238095238095
9645,5.01976469444032,9205534.6442,0.5452985501068154,Stockers and order fillers,7,98.85714285714286,90,83.04761904761905
4110,4.451580033829046,9556688.739500001,0.465807787108273,Waiters and waitresses,8,98.66666666666667,129,75.61904761904762
9130,4.34826992883684,18616476.9733,0.23357104220488048,Driver/sales workers and truck drivers,9,98.47619047619047,315,40.19047619047619
5860,4.053189436719939,6633077.8964,0.6110571140615949,"Office clerks, general",10,98.28571428571429,73,86.28571428571429
4020,3.8574070956999575,11038354.1105,0.349454914843752,Cooks,11,98.09523809523809,208,60.57142857142856
4700,3.2933691769044073,16840281.3127,0.19556497399011574,First-Line supervisors of retail sales workers,12,97.90476190476191,347,34.0952380952381
5740,3.096925515066828,10288623.4475,0.3010048458736567,"Secretaries and administrative assistants, except legal, medical, and executive",13,97.71428571428571,242,54.095238095238095
2310,2.859860500553602,20157935.349799998,0.1418726893864146,Elementary and middle school teachers,14,97.52380952380952,428,18.666666666666664
4850,2.839583168918449,6313761.7074,0.4497450649096142,"Sales representatives, wholesale and manufacturing",15,97.33333333333334,138,73.90476190476191
4220,2.66134875731047,11761697.784,0.22627249961572982,Janitors and building cleaners,16,97.14285714285714,323,38.66666666666667
310,2.581745558814478,6425960.8638,0.4017680178163674,Food service managers,17,96.95238095238096,167,68.38095238095238
4710,2.534066060842145,6286646.6535,0.40308708290950945,First-Line supervisors of non-retail sales workers,18,96.76190476190476,165,68.76190476190476
5510,2.4526636663748773,4334240.2911,0.5658808699211294,Couriers and messengers,19,96.57142857142857,84,84.19047619047619
5120,2.2528811509743316,6006470.7616,0.37507568760298277,"Bookkeeping, accounting, and auditing clerks",20,96.38095238095238,187,64.57142857142857
4055,2.112318229507506,4324560.4074,0.4884469241990466,Fast food and counter workers,21,96.19047619047619,117,77.9047619047619
120,2.034977709360017,8094297.2013,0.2514088201546622,Financial managers,22,96.0,290,44.952380952380956
2320,1.9787345796620206,5472042.7893,0.36160802388666013,Secondary school teachers,23,95.80952380952381,202,61.71428571428572
4030,1.973448412335405,4947336.0956,0.3988911151782322,Food preparation workers,24,95.61904761904762,170,67.80952380952381
20,1.9126549374099278,6958987.9362,0.27484670974359315,General and operations managers,25,95.42857142857143,266,49.523809523809526
4600,1.905289229257713,5356862.6872,0.35567259056505635,Childcare workers,26,95.23809523809523,205,61.142857142857146
2360,1.8189963883480393,4431803.0868999995,0.4104416086817631,Other teachers and instructors,27,95.04761904761905,162,69.33333333333334
5000,1.7801362996118677,7114112.1174,0.25022606760131516,First-Line supervisors of office and administrative support workers,28,94.85714285714286,293,44.38095238095238
630,1.6647823943342666,5306350.4353,0.31373397114134366,Human resources workers,29,94.66666666666667,237,55.047619047619044
4230,1.663097113939517,7032501.354499999,0.23648727957589716,Maids and housekeeping cleaners,30,94.47619047619048,310,41.142857142857146
5110,1.6141745808565484,2479438.9256,0.6510241346097823,Billing and posting clerks,31,94.28571428571428,65,87.80952380952381
5810,1.603411319055682,1321212.2156,1.2135910492831217,Data entry keyers,32,94.0952380952381,6,99.04761904761905
4840,1.5716391263482485,3410093.9732,0.4608785384507857,"Sales representatives of services, except advertising, insurance, financial services, and travel",33,93.9047619047619,133,74.85714285714286
230,1.5476667881040709,5523774.8343,0.2801828160144762,Education and childcare administrators,34,93.71428571428572,260,50.66666666666666
2545,1.4962187076095959,7902803.879000001,0.18932757670799283,Teaching assistants,35,93.52380952380952,357,32.19047619047619
750,1.4478779270166526,2712387.4655,0.5338020269717445,"Business operations specialists, all other",36,93.33333333333333,93,82.47619047619048
4810,1.3887520190985705,3259456.3489,0.42606860483566406,Insurance sales agents,37,93.14285714285714,154,70.85714285714286
3603,1.3844506067731215,7446472.6602,0.18592032361479688,Nursing assistants,38,92.95238095238095,364,30.85714285714286
4010,1.3608089017085976,2922809.3868,0.4655825001295968,First-line supervisors of food preparation and serving workers,39,92.76190476190476,130,75.42857142857142
