occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
5400,0.012512835714280687,1,1.0,1.0,Receptionists and information clerks,6577331.8289
5860,0.012130504574361222,2,0.9980916030534351,0.9691650678126136,"Office clerks, general",6633077.8964
4720,0.010986954267359923,3,0.9961832061068703,0.8769379576256757,Cashiers,13500837.07
9620,0.010750485881135044,4,0.9942748091603053,0.8578668281978171,"Laborers and freight, stock, and material movers, hand",12147148.817499999
5510,0.009773305419338109,5,0.9923664122137404,0.7790574137182789,Couriers and messengers,4334240.2911
9645,0.009607727554644688,6,0.9904580152671756,0.7657035910852876,Stockers and order fillers,9205534.6442
4760,0.009442889108354701,7,0.9885496183206107,0.7524094024029414,Retail salespersons,13976075.1649
4710,0.009294268612694731,8,0.9866412213740458,0.7404231882894474,First-Line supervisors of non-retail sales workers,6286646.6535
5240,0.009273559938272514,9,0.9847328244274809,0.738753037718834,Customer service representatives,14771543.1791
4850,0.009005497678255148,10,0.982824427480916,0.7171338685050103,"Sales representatives, wholesale and manufacturing",6313761.7074
5810,0.008694187869039208,11,0.9809160305343512,0.6920267928468159,Data entry keyers,1321212.2156
310,0.008447027474390452,12,0.9790076335877863,0.6720933550159152,Food service managers,6425960.8638
4020,0.008334440643705348,13,0.9770992366412213,0.6630132489850561,Cooks,11038354.1105
440,0.008133542225963169,14,0.9751908396946565,0.6468108306077872,"Managers, all other",29149695.1166
4110,0.007869906887600541,15,0.9732824427480916,0.6255486917657282,Waiters and waitresses,9556688.739500001
2320,0.007852694896097913,16,0.9713740458015268,0.6241605479935386,Secondary school teachers,5472042.7893
3160,0.007713468402110161,17,0.9694656488549618,0.6129319582906329,Physical therapists,1774899.8
5000,0.007640203142252908,18,0.9675572519083969,0.6070231293109544,First-Line supervisors of office and administrative support workers,7114112.1174
5740,0.007581526809478535,19,0.9656488549618321,0.6022908944674011,"Secretaries and administrative assistants, except legal, medical, and executive",10288623.4475
5110,0.007392822026453297,20,0.9637404580152672,0.5870718903621003,Billing and posting clerks,2479438.9256
2310,0.007322777702976968,21,0.9618320610687023,0.5814228292760509,Elementary and middle school teachers,20157935.349799998
4700,0.007246352075992504,22,0.9599236641221374,0.575259117301293,First-Line supervisors of retail sales workers,16840281.3127
120,0.007166777187670315,23,0.9580152671755725,0.568841418011221,Financial managers,8094297.2013
3500,0.006972076900079218,24,0.9561068702290076,0.5531388776269858,Licensed practical and licensed vocational nurses,3143605.5179000003
4150,0.006971237357771015,25,0.9541984732824428,0.5530711687028648,"Hosts and hostesses, restaurant, lounge, and coffee shop",1500385.2212999999
5120,0.006914868178422258,26,0.9522900763358778,0.5485250053350479,"Bookkeeping, accounting, and auditing clerks",6006470.7616
5710,0.0067967016069844345,27,0.950381679389313,0.5389948942960445,Executive secretaries and executive administrative assistants,1326680.3371000001
4055,0.00676906351613872,28,0.9484732824427481,0.53676588763654,Fast food and counter workers,4324560.4074
2360,0.006729122402595745,29,0.9465648854961832,0.5335446445856973,Other teachers and instructors,4431803.0868999995
20,0.0067246667770910545,30,0.9446564885496184,0.533185299254008,General and operations managers,6958987.9362
4840,0.006682321784146182,31,0.9427480916030534,0.5297701837962256,"Sales representatives of services, except advertising, insurance, financial services, and travel",3410093.9732
5160,0.006678620223230611,32,0.9408396946564885,0.5294716536272126,Tellers,1323707.0256999999
4220,0.006674742289507352,33,0.9389312977099237,0.5291588990255104,Janitors and building cleaners,11761697.784
750,0.006495518717637908,34,0.9370229007633588,0.5147045527587125,"Business operations specialists, all other",2712387.4655
3090,0.006298241444178914,35,0.9351145038167938,0.49879417896467126,Other physicians,4815208.1555
630,0.0062534562029739746,36,0.933206106870229,0.4951822579586006,Human resources workers,5306350.4353
5420,0.006232676485275721,37,0.9312977099236641,0.4935063777615713,"Information and record clerks, all other",570394.4296
5610,0.006210491485121816,38,0.9293893129770993,0.49171716180739367,"Shipping, receiving, and inventory clerks",3412713.4091
4230,0.006203627594296317,39,0.9274809160305344,0.49116359034525625,Maids and housekeeping cleaners,7032501.354499999
800,0.006062107224598152,40,0.9255725190839694,0.4797500000117669,Accountants and auditors,9327361.389
5600,0.006031426186843405,41,0.9236641221374046,0.4772755802749765,"Production, planning, and expediting clerks",1254049.4732
4810,0.005988007288873656,42,0.9217557251908397,0.4737738545854858,Insurance sales agents,3259456.3489
9130,0.0058891516112996225,43,0.9198473282442748,0.46580116338650174,Driver/sales workers and truck drivers,18616476.9733
4120,0.005835869849650602,44,0.91793893129771,0.46150399965660494,"Food servers, nonrestaurant",1086990.3311
4600,0.00582875331554092,45,0.916030534351145,0.4609300525626604,Childcare workers,5356862.6872
3515,0.005817755714333228,46,0.9141221374045801,0.4600430981609485,Medical records specialists,1127235.9008
4010,0.005753450953182046,47,0.9122137404580153,0.454856931661823,First-line supervisors of food preparation and serving workers,2922809.3868
2545,0.005748938079688262,48,0.9103053435114504,0.4544929692909307,Teaching assistants,7902803.879000001
5840,0.00573728229958497,49,0.9083969465648855,0.45355293288910425,Insurance claims and policy processing clerks,1511866.6492
5320,0.005689905364003537,50,0.9064885496183206,0.4497319922348656,"Library assistants, clerical",365441.6115
4030,0.0055683968279330335,51,0.9045801526717557,0.4399323523972322,Food preparation workers,4947336.0956
5522,0.005524344638761141,52,0.9026717557251909,0.4363795518952711,"Dispatchers, except police, fire, and ambulance",1073051.9514000001
160,0.005485386690512783,53,0.9007633587786259,0.43323760093451275,"Transportation, storage, and distribution managers",2018152.5839
5165,0.0054194493890577615,54,0.898854961832061,0.42791977037691514,"Financial clerks, all other",729188.5529
2300,0.005399746132904,55,0.8969465648854962,0.4263307065944047,Preschool and kindergarten teachers,3745091.5878
5260,0.005284147471652343,56,0.8950381679389313,0.4170076970132382,File clerks,887999.7881
4435,0.005248309246530664,57,0.8931297709923665,0.4141173511168092,Other entertainment attendants and related workers,975685.4295
3655,0.005207385876101378,58,0.8912213740458015,0.4108168892388357,Other healthcare support workers,1099551.1215000001
2330,0.005207164590977652,59,0.8893129770992366,0.4107990426365798,Special education teachers,2086666.8141
10,0.005162124568706498,60,0.8874045801526718,0.4071665735869964,Chief executives,8858392.9719
4040,0.005114059610719999,61,0.8854961832061069,0.40329014405940034,Bartenders,2228643.0643
230,0.005100787153839508,62,0.883587786259542,0.4022197229894447,Education and childcare administrators,5523774.8343
2555,0.005088610053250104,63,0.8816793893129771,0.40123764219165164,Other educational instruction and library workers,1015463.7055
540,0.005058425171338927,64,0.8797709923664122,0.3988032373272938,"Claims adjusters, appraisers, examiners, and investigators",1890320.4147
520,0.005033356954248328,65,0.8778625954198473,0.39678149048708056,"Wholesale and retail buyers, except farm products",994934.6166
5540,0.0049882951822530245,66,0.8759541984732825,0.39314726732646815,Postal service clerks,548883.806
6410,0.004970743768681827,67,0.8740458015267176,0.3917317492303627,Painters and paperhangers,2816897.0385
3110,0.004909382590243673,68,0.8721374045801527,0.38678298210541134,Physician assistants,916095.7143
2145,0.004904813226669172,69,0.8702290076335878,0.3864144638204793,Paralegals and legal assistants,2280492.8068
565,0.00486356880338925,70,0.8683206106870229,0.3830881090924491,Compliance officers,1743940.366
410,0.004850441301170665,71,0.866412213740458,0.3820293785878267,"Property, real estate, and community association managers",4042052.8441
3645,0.004842244227669025,72,0.8645038167938931,0.381368286201757,Medical assistants,3444699.5074
3602,0.004766118175551417,73,0.8625954198473282,0.37522873488183484,Personal care aides,7842307.2763
5330,0.00473912735991665,74,0.8606870229007634,0.37305193084239513,Loan interviewers and clerks,667418.0592
5140,0.004692412041743941,75,0.8587786259541985,0.36928434950368677,Payroll and timekeeping clerks,749306.6849
4740,0.004660012241638647,76,0.8568702290076335,0.36667131191710134,Counter and rental clerks,393402.8896
5300,0.004647069201558206,77,0.8549618320610687,0.3656274582480984,"Hotel, motel, and resort desk clerks",527451.0674
4350,0.0046126325784695095,78,0.8530534351145038,0.36285015128344406,Animal caretakers,1618116.5775000001
4920,0.00459980099510383,79,0.851145038167939,0.3618152865768422,Real estate brokers and sales agents,5406297.239
3401,0.004594840450417456,80,0.8492366412213741,0.3614152196112033,Emergency medical technicians,951039.9638
910,0.004585370960726206,81,0.8473282442748091,0.36065150710653954,Credit counselors and loan officers,2187662.1892
5310,0.004550651875526942,82,0.8454198473282443,0.35785141962752093,"Interviewers, except eligibility and loan",908627.9005
3421,0.004466335787154569,83,0.8435114503816794,0.351051343474123,Pharmacy technicians,2147192.8382
3640,0.004433283302963475,84,0.8416030534351145,0.34838566704276636,Dental assistants,1671042.2395
3603,0.004428939276061113,85,0.8396946564885497,0.3480353221166828,Nursing assistants,7446472.6602
3545,0.00439705493639832,86,0.8377862595419847,0.3454638563146848,Miscellaneous health technologists and technicians,811987.3171
3550,0.004351126062755683,87,0.8358778625954199,0.3417597015746025,Other healthcare practitioners and technical occupations,561506.4724
52,0.004320386037230945,88,0.833969465648855,0.3392805244856176,Sales managers,3198175.4513999997
4130,0.0043180889511881156,89,0.83206106870229,0.33909526494234793,Dining room and cafeteria attendants and bartender helpers,1421462.803
2002,0.004274468176857433,90,0.8301526717557252,0.3355772579635515,"Educational, guidance, and career counselors and advisors",2009963.2789
8740,0.004261507651586554,91,0.8282442748091603,0.33453199411733525,"Inspectors, testers, sorters, samplers, and weighers",4381075.3003
2025,0.004163094101050409,92,0.8263358778625954,0.32659496037809765,Other community and social service specialists,566454.4906
2100,0.004111980528281826,93,0.8244274809160306,0.3224726606603548,Lawyers,6131503.6833999995
735,0.00410527038857873,94,0.8225190839694656,0.32193148919638137,Market research analysts and marketing specialists,2615314.5456999997
110,0.004095288070598136,95,0.8206106870229007,0.32112641718977114,Computer and information systems managers,4130294.0414
2016,0.004070333870937717,96,0.8187022900763359,0.3191138658331602,Social and human service assistants,1277231.2587000001
7800,0.004055101787643809,97,0.816793893129771,0.3178854012735138,Bakers,1202489.037
705,0.0040207405916266046,98,0.8148854961832062,0.31511417748752774,Project management specialists,4858456.9706999995
3310,0.00394722410071268,99,0.8129770992366412,0.30918508677191675,Dental hygienists,1260645.1912
2435,0.0038872536423275456,100,0.8110687022900763,0.3043484809491694,Librarians and media collections specialists,974682.7032999999
530,0.0038676055638433037,101,0.8091603053435115,0.3027638672349905,"Purchasing agents, except wholesale, retail, and farm products",1545019.1505
2205,0.003860628330107627,102,0.8072519083969466,0.3022011546891579,Postsecondary teachers,5693962.5991
4200,0.003834617272630689,103,0.8053435114503817,0.3001033679548821,First-line supervisors of housekeeping and janitorial workers,1767804.6598
101,0.0038342634246085567,104,0.8034351145038168,0.300074830180613,Administrative services managers,410077.6323
8990,0.0038305697660352685,105,0.8015267175572519,0.29977693733397043,Other production workers,6844332.9998
9005,0.003827002392563583,106,0.799618320610687,0.2994892293562481,Supervisors of transportation and material moving workers,1808035.0082
