occ,port_rate,rank,portability_index,occ_title,weighted_employment
2320,0.010067637217973121,1,1.0,Secondary school teachers,5472042.7893
20,0.010026457266250248,2,0.9980916030534351,General and operations managers,6958987.9362
5000,0.009894979808715027,3,0.9961832061068703,First-Line supervisors of office and administrative support workers,7114112.1174
2310,0.009700550973885958,4,0.9942748091603053,Elementary and middle school teachers,20157935.349799998
310,0.009055492494485106,5,0.9923664122137404,Food service managers,6425960.8638
4760,0.008905241487493038,6,0.9904580152671756,Retail salespersons,13976075.1649
4710,0.00857026164244393,7,0.9885496183206107,First-Line supervisors of non-retail sales workers,6286646.6535
4510,0.008503403330538239,8,0.9866412213740458,"Hairdressers, hairstylists, and cosmetologists",3814053.562
9645,0.00832701638911597,9,0.9847328244274809,Stockers and order fillers,9205534.6442
4850,0.008072016836256008,10,0.982824427480916,"Sales representatives, wholesale and manufacturing",6313761.7074
4720,0.007926796257330419,11,0.9809160305343512,Cashiers,13500837.07
4700,0.00778381320560093,12,0.9790076335877863,First-Line supervisors of retail sales workers,16840281.3127
2545,0.007686781674628264,13,0.9770992366412213,Teaching assistants,7902803.879000001
440,0.007572924805613584,14,0.9751908396946565,"Managers, all other",29149695.1166
3160,0.007179876390413726,15,0.9732824427480916,Physical therapists,1774899.8
3421,0.007084985057539284,16,0.9713740458015268,Pharmacy technicians,2147192.8382
4010,0.007083134392519532,17,0.9694656488549618,First-line supervisors of food preparation and serving workers,2922809.3868
4020,0.0069855262582151885,18,0.9675572519083969,Cooks,11038354.1105
2360,0.006955422163873806,19,0.9656488549618321,Other teachers and instructors,4431803.0868999995
565,0.006914682420470846,20,0.9637404580152672,Compliance officers,1743940.366
160,0.006888378218029155,21,0.9618320610687023,"Transportation, storage, and distribution managers",2018152.5839
3603,0.006753971394265444,22,0.9599236641221374,Nursing assistants,7446472.6602
3645,0.006750220907348051,23,0.9580152671755725,Medical assistants,3444699.5074
9130,0.006742507578253509,24,0.9561068702290076,Driver/sales workers and truck drivers,18616476.9733
630,0.006698068321093999,25,0.9541984732824428,Human resources workers,5306350.4353
3930,0.006652068638521252,26,0.9522900763358778,Security guards and gambling surveillance officers,4802309.8071
3050,0.00654949843681909,27,0.950381679389313,Pharmacists,1981797.4355
9620,0.006470240393397098,28,0.9484732824427481,"Laborers and freight, stock, and material movers, hand",12147148.817499999
5240,0.006449775095579391,29,0.9465648854961832,Customer service representatives,14771543.1791
2300,0.006309798754124135,30,0.9446564885496184,Preschool and kindergarten teachers,3745091.5878
4220,0.00629297556036652,31,0.9427480916030534,Janitors and building cleaners,11761697.784
5740,0.006163757194024956,32,0.9408396946564885,"Secretaries and administrative assistants, except legal, medical, and executive",10288623.4475
4350,0.006152285573528493,33,0.9389312977099237,Animal caretakers,1618116.5775000001
5610,0.006146473418993981,34,0.9370229007633588,"Shipping, receiving, and inventory clerks",3412713.4091
120,0.006101966386912365,35,0.9351145038167938,Financial managers,8094297.2013
4055,0.006088078369717167,36,0.933206106870229,Fast food and counter workers,4324560.4074
3090,0.006054202363159697,37,0.9312977099236641,Other physicians,4815208.1555
4840,0.00602672725394757,38,0.9293893129770993,"Sales representatives of services, except advertising, insurance, financial services, and travel",3410093.9732
5400,0.006011654828174631,39,0.9274809160305344,Receptionists and information clerks,6577331.8289
230,0.00598195320205956,40,0.9255725190839694,Education and childcare administrators,5523774.8343
9005,0.005967416810369895,41,0.9236641221374046,Supervisors of transportation and material moving workers,1808035.0082
3640,0.005924870957463386,42,0.9217557251908397,Dental assistants,1671042.2395
800,0.005903110480298596,43,0.9198473282442748,Accountants and auditors,9327361.389
6410,0.005811622546751361,44,0.91793893129771,Painters and paperhangers,2816897.0385
4600,0.005811072786968581,45,0.916030534351145,Childcare workers,5356862.6872
2330,0.005795069674442701,46,0.9141221374045801,Special education teachers,2086666.8141
3255,0.005760284773391237,47,0.9122137404580153,Registered nurses,19085648.5968
4110,0.005605137726650835,48,0.9103053435114504,Waiters and waitresses,9556688.739500001
4810,0.005593296795697811,49,0.9083969465648855,Insurance sales agents,3259456.3489
750,0.005476489103330496,50,0.9064885496183206,"Business operations specialists, all other",2712387.4655
3870,0.005453223648497371,51,0.9045801526717557,Police officers,3920655.0377
3500,0.005433869670370399,52,0.9026717557251909,Licensed practical and licensed vocational nurses,3143605.5179000003
5860,0.0053776531749665755,53,0.9007633587786259,"Office clerks, general",6633077.8964
2205,0.005320256894182426,54,0.898854961832061,Postsecondary teachers,5693962.5991
520,0.0053027215911056165,55,0.8969465648854962,"Wholesale and retail buyers, except farm products",994934.6166
5510,0.0052641653430564326,56,0.8950381679389313,Couriers and messengers,4334240.2911
3323,0.005250082206294358,57,0.8931297709923665,Radiologic technologists and technicians,1491502.1067
2555,0.005236850434820484,58,0.8912213740458015,Other educational instruction and library workers,1015463.7055
3655,0.005173740924641598,59,0.8893129770992366,Other healthcare support workers,1099551.1215000001
2002,0.00517095067671444,60,0.8874045801526718,"Educational, guidance, and career counselors and advisors",2009963.2789
4030,0.0051548038521008034,61,0.8854961832061069,Food preparation workers,4947336.0956
420,0.005090457680059781,62,0.883587786259542,Social and community service managers,2530707.626
6260,0.005051104942179264,63,0.8816793893129771,Construction laborers,11862736.7231
6230,0.005050464615857146,64,0.8797709923664122,Carpenters,6985451.6537999995
3310,0.005026946189657121,65,0.8778625954198473,Dental hygienists,1260645.1912
2435,0.0050221833740589856,66,0.8759541984732825,Librarians and media collections specialists,974682.7032999999
4920,0.005017438554743269,67,0.8740458015267176,Real estate brokers and sales agents,5406297.239
5550,0.004977346831880778,68,0.8721374045801527,Postal service mail carriers,1783899.5345
6200,0.004911037377004305,69,0.8702290076335878,First-line supervisors of construction trades and extraction workers,3890227.5707
5120,0.004907525750820459,70,0.8683206106870229,"Bookkeeping, accounting, and auditing clerks",6006470.7616
4200,0.0048992651538215465,71,0.866412213740458,First-line supervisors of housekeeping and janitorial workers,1767804.6598
2014,0.0048706042283040984,72,0.8645038167938931,"Social workers, all other",3724115.0245000003
725,0.004804892819931004,73,0.8625954198473282,"Meeting, convention, and event planners",918556.521
3230,0.004747255185669031,74,0.8606870229007634,Speech-language pathologists,1081756.0381
4251,0.004663811335018239,75,0.8587786259541985,Landscaping and groundskeeping workers,5460851.7521
51,0.0046121960378116824,76,0.8568702290076335,Marketing managers,3297618.5672
2016,0.004607613369784249,77,0.8549618320610687,Social and human service assistants,1277231.2587000001
5710,0.004600055913467289,78,0.8530534351145038,Executive secretaries and executive administrative assistants,1326680.3371000001
3515,0.004490148250535276,79,0.851145038167939,Medical records specialists,1127235.9008
110,0.00447982577782986,80,0.8492366412213741,Computer and information systems managers,4130294.0414
10,0.004449502736109982,81,0.8473282442748091,Chief executives,8858392.9719
6442,0.004415958853157664,82,0.8454198473282443,"Plumbers, pipefitters, and steamfitters",3349436.4813
4040,0.0043783067598944184,83,0.8435114503816794,Bartenders,2228643.0643
5522,0.004289077557998798,84,0.8416030534351145,"Dispatchers, except police, fire, and ambulance",1073051.9514000001
3602,0.004269284594438356,85,0.8396946564885497,Personal care aides,7842307.2763
7700,0.004224376348035855,86,0.8377862595419847,First-line supervisors of production and operating workers,4219399.6269
8740,0.004223965792076128,87,0.8358778625954199,"Inspectors, testers, sorters, samplers, and weighers",4381075.3003
3550,0.00416111406316825,88,0.833969465648855,Other healthcare practitioners and technical occupations,561506.4724
3820,0.004127992058168428,89,0.83206106870229,Detectives and criminal investigators,880703.9403
7800,0.0041279498928758545,90,0.8301526717557252,Bakers,1202489.037
5160,0.00411202982278787,91,0.8282442748091603,Tellers,1323707.0256999999
9610,0.003995921738626144,92,0.8263358778625954,Cleaners of vehicles and equipment,2021490.2858
9121,0.003989418035377061,93,0.8244274809160306,"Bus drivers, school",1166788.8057
2006,0.0039791195745452505,94,0.8225190839694656,"Counselors, all other",1406231.5614999998
6355,0.003977286465495868,95,0.8206106870229007,Electricians,5236158.7653
910,0.003943699773205366,96,0.8187022900763359,Credit counselors and loan officers,2187662.1892
3424,0.003927944615646434,97,0.816793893129771,Veterinary technologists and technicians,762830.0228
3545,0.003927177003151949,98,0.8148854961832062,Miscellaneous health technologists and technicians,811987.3171
2001,0.0039104060661858935,99,0.8129770992366412,Substance abuse and behavioral disorder counselors,758469.0241
8990,0.003901863020383316,100,0.8110687022900763,Other production workers,6844332.9998
4230,0.003893735831529062,101,0.8091603053435115,Maids and housekeeping cleaners,7032501.354499999
5521,0.003873771826385951,102,0.8072519083969466,Public safety telecommunicators,444807.61470000003
2145,0.0038727604872063827,103,0.8053435114503817,Paralegals and legal assistants,2280492.8068
4622,0.003871030604577513,104,0.8034351145038168,Recreation workers,732277.7334
3620,0.0038412383019771055,105,0.8015267175572519,Physical therapist assistants and aides,502447.1982
4120,0.003821098269226529,106,0.799618320610687,"Food servers, nonrestaurant",1086990.3311
102,0.0038169678659860577,107,0.7977099236641221,Facilities managers,753070.1113
5940,0.0038152403408386517,108,0.7958015267175572,"Office and administrative support workers, all other",3475887.492
540,0.003774834325518582,109,0.7938931297709924,"Claims adjusters, appraisers, examiners, and investigators",1890320.4147
4435,0.0037120469990039586,110,0.7919847328244275,Other entertainment attendants and related workers,975685.4295
5420,0.0037057514695923994,111,0.7900763358778626,"Information and record clerks, all other",570394.4296
2752,0.003704211449733624,112,0.7881679389312977,Musicians and singers,661781.9331
2100,0.003704071980496043,113,0.7862595419847328,Lawyers,6131503.6833999995
3960,0.0036989796477976122,114,0.7843511450381679,Other protective service workers,657606.9834
4150,0.0036961665727467076,115,0.7824427480916031,"Hosts and hostesses, restaurant, lounge, and coffee shop",1500385.2212999999
5810,0.0036803798951034164,116,0.7805343511450382,Data entry keyers,1321212.2156
3010,0.0036673017152226853,117,0.7786259541984732,Dentists,881613.3798
2025,0.0036550819660674076,118,0.7767175572519084,Other community and social service specialists,566454.4906
4750,0.003643173718395833,119,0.7748091603053435,Parts salespersons,710865.7021
4800,0.0035593598038141092,120,0.7729007633587787,Advertising sales agents,769015.8215999999
7200,0.003557695059208851,121,0.7709923664122138,Automotive service technicians and mechanics,4850593.0763
7340,0.003542213300991544,122,0.7690839694656488,"Maintenance and repair workers, general",3651144.9961
9600,0.0035355963808597116,123,0.767175572519084,Industrial truck and tractor operators,3314603.5901
5540,0.003499495484868136,124,0.7652671755725191,Postal service clerks,548883.806
2640,0.0034470831593920973,125,0.7633587786259541,Other designers,2094389.9282
5110,0.003422811206465083,126,0.7614503816793893,Billing and posting clerks,2479438.9256
7315,0.0034192638057871172,127,0.7595419847328244,"Heating, air conditioning, and refrigeration mechanics and installers",2556327.2693
5600,0.003363943584585393,128,0.7576335877862596,"Production, planning, and expediting clerks",1254049.4732
5310,0.0033442604669545804,129,0.7557251908396947,"Interviewers, except eligibility and loan",908627.9005
3910,0.0033213329500413817,130,0.7538167938931297,Private detectives and investigators,632938.6987000001
350,0.0033128706072197184,131,0.7519083969465649,Medical and health services managers,4482834.9969
3401,0.0033009587065151087,132,0.75,Emergency medical technicians,951039.9638
6240,0.003283461084431002,133,0.7480916030534351,"Carpet, floor, and tile installers and finishers",802908.6009
2600,0.003283353366043926,134,0.7461832061068703,Artists and related workers,1603267.8749
3322,0.0032792626607228838,135,0.7442748091603053,Diagnostic medical sonographers,507657.6457
1108,0.0032217523292716083,136,0.7423664122137404,"Computer occupations, all other",5950633.8785
3250,0.003199300564610403,137,0.7404580152671756,Veterinarians,472598.9837
1050,0.0031971567620090765,138,0.7385496183206106,Computer support specialists,3957470.7133
2850,0.0031897787804265635,139,0.7366412213740459,Writers and authors,1210463.5494
9122,0.003180536936864187,140,0.7347328244274809,"Bus drivers, transit and intercity",1227757.2577
140,0.003173307888170972,141,0.732824427480916,Industrial production managers,1680232.5053
4130,0.003143060788200186,142,0.7309160305343512,Dining room and cafeteria attendants and bartender helpers,1421462.803
2015,0.0031247805200625618,143,0.7290076335877862,Probation officers and correctional treatment specialists,426046.0517
101,0.0031239248429368945,144,0.7270992366412214,Administrative services managers,410077.6323
52,0.0031048375127397886,145,0.7251908396946565,Sales managers,3198175.4513999997
3423,0.0031026686017614964,146,0.7232824427480916,Surgical technologists,595141.7925
8300,0.0031017773303645387,147,0.7213740458015268,Laundry and dry-cleaning workers,636334.6936
5260,0.003080486478033993,148,0.7194656488549618,File clerks,887999.7881
6515,0.003069468551976508,149,0.7175572519083969,Roofers,1219619.3482
3300,0.0030530708214674485,150,0.7156488549618321,Clinical laboratory technologists and technicians,1960963.2454
2830,0.0030465168696813317,151,0.7137404580152672,Editors,555001.0349
7810,0.0030378681115286847,152,0.7118320610687023,"Butchers and other meat, poultry, and fish processing workers",1348137.4108
2722,0.0030299063708920265,153,0.7099236641221374,Coaches and scouts,1632363.956
3220,0.0030069726117150377,154,0.7080152671755725,Respiratory therapists,574881.3354
2861,0.00299889767071519,155,0.7061068702290076,Interpreters and translators,453502.381
1970,0.0029904920475558143,156,0.7041984732824427,"Other life, physical, and social science technicians",1738436.574
5165,0.0029810530816870144,157,0.7022900763358779,"Financial clerks, all other",729188.5529
4522,0.002970635601515117,158,0.700381679389313,Skincare specialists,506263.6997
4500,0.002954194442470463,159,0.6984732824427481,Barbers,645976.3593
8140,0.0029252870797378864,160,0.6965648854961832,"Welding, soldering, and brazing workers",3080217.7179
4740,0.0029088759696895674,161,0.6946564885496183,Counter and rental clerks,393402.8896
5320,0.002908134637854118,162,0.6927480916030535,"Library assistants, clerical",365441.6115
5410,0.0028967641421300187,163,0.6908396946564885,Reservation and transportation ticket agents and travel clerks,626302.6851
60,0.002895380540550781,164,0.6889312977099237,Public relations and fundraising managers,693558.1085999999
9150,0.0028818450484352923,165,0.6870229007633588,"Motor vehicle operators, all other",910737.0208
4820,0.002869266698024821,166,0.6851145038167938,"Securities, commodities, and financial services sales agents",1249151.2482
7420,0.002852252638000685,167,0.6832061068702291,Telecommunications line installers and repairers,819026.3541
410,0.002851689818945086,168,0.6812977099236641,"Property, real estate, and community association managers",4042052.8441
3000,0.002834565735263018,169,0.6793893129770993,Chiropractors,294834.3109
2710,0.0028301318753460657,170,0.6774809160305344,Producers and directors,1045909.5255
8810,0.002829824079238893,171,0.6755725190839694,Painting workers,886757.1240000001
5300,0.0028256172860890777,172,0.6736641221374046,"Hotel, motel, and resort desk clerks",527451.0674
7640,0.0028128360112454503,173,0.6717557251908397,"Other installation, maintenance, and repair workers",1097960.7725
3110,0.0027511223611193184,174,0.6698473282442747,Physician assistants,916095.7143
3648,0.002741939984024488,175,0.66793893129771,Veterinary assistants and laboratory animal caretakers,370103.3685
710,0.0027254691989679657,176,0.666030534351145,Management analysts,5544794.0581
335,0.0027237856982083074,177,0.6641221374045801,Entertainment and recreation managers,294327.5695
6305,0.0026921615223259253,178,0.6622137404580153,Construction equipment operators,2049349.0712
5840,0.002686164195104114,179,0.6603053435114503,Insurance claims and policy processing clerks,1511866.6492
150,0.002661413365998682,180,0.6583969465648856,Purchasing managers,1310881.4195
850,0.0026501981358998668,181,0.6564885496183206,Personal financial advisors,2731306.5525
735,0.0026323065711334214,182,0.6545801526717557,Market research analysts and marketing specialists,2615314.5456999997
705,0.002625271617403597,183,0.6526717557251909,Project management specialists,4858456.9706999995
7750,0.002617125246337393,184,0.6507633587786259,Other assemblers and fabricators,5393965.8725000005
3725,0.0026017760786312427,185,0.6488549618320612,First-line supervisors of security workers,440677.0989
530,0.002582096549104279,186,0.6469465648854962,"Purchasing agents, except wholesale, retail, and farm products",1545019.1505
4210,0.0025816558758358825,187,0.6450381679389313,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",1391476.2652
6220,0.002575810045719014,188,0.6431297709923665,"Brickmasons, blockmasons, and stonemasons",686523.0682
4240,0.0025402619534544498,189,0.6412213740458015,Pest control workers,584221.0184
2400,0.002524879317285207,190,0.6393129770992366,"Archivists, curators, and museum technicians",373386.0155
7330,0.0025150499006226985,191,0.6374045801526718,Industrial and refractory machinery mechanics,2253031.0164
136,0.002512321105775138,192,0.6354961832061068,Human resources managers,1674600.2354000001
2040,0.0024958601106495285,193,0.633587786259542,Clergy,1876277.4515
8255,0.0024705803453576695,194,0.6316793893129771,Printing press operators,731471.9407
4655,0.0024607862765444774,195,0.6297709923664122,"Personal care and service workers, all other",718900.5645999999
6520,0.002434216542096624,196,0.6278625954198473,Sheet metal workers,753234.9572
4140,0.0024269566130142627,197,0.6259541984732824,Dishwashers,1281825.4832000001
7020,0.002416101859177076,198,0.6240458015267176,Radio and telecommunications equipment installers and repairers,680977.8737
1010,0.002391241889295327,199,0.6221374045801527,Computer programmers,2364149.5987
5220,0.002381589576956482,200,0.6202290076335878,"Court, municipal, and license clerks",470998.5726
7000,0.002380863060452686,201,0.6183206106870229,"First-line supervisors of mechanics, installers, and repairers",1380996.0786000001
9142,0.0023758093115180444,202,0.616412213740458,Taxi drivers,2338720.3328
9640,0.002360352881754172,203,0.6145038167938932,"Packers and packagers, hand",3724143.8251
340,0.0023426118026143063,204,0.6125954198473282,Lodging managers,642695.9062
7150,0.002335232555716691,205,0.6106870229007634,Automotive body and related repairers,705661.5079999999
8800,0.0023301799488030994,206,0.6087786259541985,Packaging and filling machine operators and tenders,1475624.8502
1555,0.002318709142892983,207,0.6068702290076335,"Other engineering technologists and technicians, except drafters",1948442.261
6330,0.002314045206608647,208,0.6049618320610687,"Drywall installers, ceiling tile installers, and tapers",946335.2331
3610,0.002305269044397786,209,0.6030534351145038,Occupational therapy assistants and aides,172411.25470000002
